"No.","Time","Source","Destination","Protocol","Length","Info"
"57","1.944448","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=35493 Ack=1020 Win=269 Len=1392 [TCP segment of a reassembled PDU]"
"58","1.944448","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"59","1.947698","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"60","1.952699","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"61","1.952699","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"62","1.956902","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"63","1.966894","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"64","1.966894","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"65","1.967018","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"66","1.967018","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"67","1.972149","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"68","1.972149","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"69","1.974830","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"70","1.974830","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"71","1.977413","157.240.195.56","10.100.102.210","TLSv1.3","1446","[TCP Previous segment not captured] , Continuation Data"
"72","1.980899","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"73","1.980899","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"74","1.982869","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"75","1.982869","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"76","1.988444","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"77","1.988444","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"78","1.993765","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"79","1.993765","157.240.195.56","10.100.102.210","TLSv1.3","1446","Continuation Data"
"80","2.000850","157.240.195.56","10.100.102.210","TLSv1.3","832","Continuation Data"
"81","2.000850","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
"82","2.027138","157.240.195.56","10.100.102.210","TLSv1.3","296","Application Data"
"83","2.027906","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=72740 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"84","2.027906","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"85","2.030815","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"86","2.030815","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=76916 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"87","2.034923","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53337 [PSH, ACK] Seq=79700 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"88","2.034923","157.240.195.56","10.100.102.210","TCP","1446","[TCP Out-Of-Order] 443  >  53337 [ACK] Seq=78308 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"89","2.037487","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=81092 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"90","2.037487","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=82484 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"91","2.043867","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=83876 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"92","2.043867","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=85268 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"93","2.044338","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=86660 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"94","2.044338","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"95","2.050108","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"96","2.050108","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=90836 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"97","2.050305","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=92228 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"98","2.050305","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=93620 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"99","2.052377","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=95012 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"100","2.052377","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=96404 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"101","2.052377","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=97796 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"102","2.052377","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=99188 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"103","2.052672","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53337 [PSH, ACK] Seq=101972 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"104","2.052672","157.240.195.56","10.100.102.210","TCP","1446","[TCP Out-Of-Order] 443  >  53337 [ACK] Seq=100580 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"105","2.054013","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=103364 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"106","2.054013","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"107","2.059557","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"108","2.061928","157.240.195.56","10.100.102.210","TLSv1.2","147","Application Data"
"109","2.063411","10.100.102.210","157.240.195.56","TLSv1.2","146","Application Data"
"110","2.077594","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53337 [PSH, ACK] Seq=121460 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"111","2.077594","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"112","2.077594","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=124244 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"113","2.080615","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=125636 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"114","2.080615","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=127028 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"115","2.080728","157.240.195.56","10.100.102.210","TCP","1446","[TCP Previous segment not captured] 443  >  53337 [PSH, ACK] Seq=129812 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"116","2.080728","157.240.195.56","10.100.102.210","TCP","1446","[TCP Out-Of-Order] 443  >  53337 [ACK] Seq=128420 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"117","2.080728","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=131204 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"118","2.080728","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=132596 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"119","2.080728","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=133988 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"120","2.080728","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [PSH, ACK] Seq=135380 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"121","2.081005","157.240.195.56","10.100.102.210","TCP","1446","443  >  53337 [ACK] Seq=136772 Ack=1164 Win=273 Len=1392 [TCP segment of a reassembled PDU]"
"122","2.081005","157.240.195.56","10.100.102.210","TLSv1.3","1446","Application Data"
"123","2.081005","157.240.195.56","10.100.102.210","TLSv1.3","1007","Application Data, Application Data"
"124","2.180826","10.100.102.210","157.240.195.56","TLSv1.3","199","[TCP ACKed unseen segment] , Application Data"
"125","2.240594","157.240.195.56","10.100.102.210","TLSv1.3","89","Application Data"
