"No.","Time","Source","Destination","Protocol","Length","Info"
"278","65.643032","10.100.102.210","35.186.224.25","QUIC","72","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"279","65.645984","35.186.224.25","10.100.102.210","QUIC","66","Protected Payload (KP0)"
"280","65.647284","35.186.224.25","10.100.102.210","QUIC","838","Protected Payload (KP0)"
"281","65.647608","10.100.102.210","35.186.224.25","QUIC","77","Protected Payload (KP0), DCID=f8e4e8c07a0c6092"
"282","65.651840","35.186.224.25","10.100.102.210","QUIC","67","Protected Payload (KP0)"
"283","65.654868","35.186.224.25","10.100.102.210","QUIC","67","Protected Payload (KP0)"
"284","65.750656","10.100.102.210","157.240.195.56","TLSv1.2","145","Application Data"
"285","65.762037","10.100.102.210","157.240.195.56","TLSv1.2","157","Application Data"
"286","65.950868","157.240.195.56","10.100.102.210","TLSv1.2","144","Application Data"
"287","67.598927","157.240.195.56","10.100.102.210","TLSv1.2","312","Application Data"
"288","67.888046","10.100.102.210","157.240.195.56","TLSv1.2","144","Application Data"
